keys,uk,en
"Удар в голову, що ігнорує щит.","Удар в голову, що ігнорує щит.",Head strike that ignores shield.
Потужний постріл з мушкета. Ігнорує 20% броні.,Потужний постріл з мушкета. Ігнорує 20% броні.,Powerful musket shot. Ignores 20% armor.
Удар в щілини обладунку (100% пробиття).,Удар в щілини обладунку (100% пробиття).,Strike through armor gaps (100% penetration).
Атака по трьох сусідніх клітинках перед собою.,Атака по трьох сусідніх клітинках перед собою.,Attack three adjacent tiles in front.
"Оборонна стійка: автоматична атака будь-кого, хто входить в радіус 2 клітинок.","Оборонна стійка: автоматична атака будь-кого, хто входить в радіус 2 клітинок.",Defensive stance: auto-attack anyone entering 2-tile radius.
"Спеціальна атака, що завдає великої шкоди щиту.","Спеціальна атака, що завдає великої шкоди щиту.",Special attack dealing great damage to shield.
Сильний боковий удар сокирою.,Сильний боковий удар сокирою.,Strong sideways axe swing.
Кидок зброї на коротку дистанцію.,Кидок зброї на коротку дистанцію.,Throw weapon at short range.
Швидкий колючий удар списом на дистанцію.,Швидкий колючий удар списом на дистанцію.,Quick thrusting spear attack at range.
Відновлює 50% витривалості (завершує хід).,Відновлює 50% витривалості (завершує хід).,Restores 50% stamina (ends turn).
Заряджає зброю для наступного пострілу.,Заряджає зброю для наступного пострілу.,Reloads weapon for next shot.
Атака на дистаніцю 2 гекси.,Атака на дистаніцю 2 гекси.,Attack at 2-hex range.
Ігнорує 30% броні цілі.,Ігнорує 30% броні цілі.,Ignores 30% of target armor.
Бойова стійка: автоматична відповідь при промаху ворога.,Бойова стійка: автоматична відповідь при промаху ворога.,Combat stance: auto-riposte on enemy miss.
Перевірка моралі союзників у радіусі 4 клітинок.,Перевірка моралі союзників у радіусі 4 клітинок.,Morale check for allies within 4 tiles.
Звичайна рубаюча атака.,Звичайна рубаюча атака.,Standard slashing attack.
Постріл з мушкета. Ігнорує 20% броні.,Постріл з мушкета. Ігнорує 20% броні.,Musket shot. Ignores 20% armor.
Степ,Степ,Steppe
Ліс,Ліс,Forest
Болото,Болото,Wetlands
Річка,Річка,River
Бурсак-утікач,Бурсак-утікач,Escaped Seminarian
Стрілець,Стрілець,Marksman
Козак-піхотинець,Козак-піхотинець,Cossack Infantry
Найманець,Найманець,Mercenary
Дезертир,Дезертир,Deserter
Колишній офіцер,Колишній офіцер,Former Officer
Османська імперія,Османська імперія,Ottoman Empire
Орда,Орда,Horde
Річ Посполита,Річ Посполита,Polish-Lithuanian Commonwealth
"+10 Мораль, +5 Ініціатива","+10 Мораль, +5 Ініціатива","+10 Morale, +5 Initiative"
"+10 Дальній бій, +5% пробиття броні","+10 Дальній бій, +5% пробиття броні","+10 Ranged, +5% Armor Pen"
"+5 Захист, утримує Лінію","+5 Захист, утримує Лінію","+5 Defense, Hold the Line"
"+10 HP, +30 Броня тіла","+10 HP, +30 Броня тіла","+10 HP, +30 Body Armor"
"Зброю тримати вміє, але серце зламане","Зброю тримати вміє, але серце зламане",Knows how to fight but spirit is broken
+15 Мораль загону,+15 Мораль загону,+15 Squad Morale
"+10 Мораль, не тікає першим","+10 Мораль, не тікає першим","+10 Morale, never flees first"
+5 Ближній бій,+5 Ближній бій,+5 Melee
"+5 Ближній бій, вміє стріляти","+5 Ближній бій, вміє стріляти","+5 Melee, can shoot"
Перший постріл — безкоштовний,Перший постріл — безкоштовний,First shot is free
Чигирин,Чигирин,Chyhyryn
Київ,Київ,Kyiv
Диканька,Диканька,Dykanka
Суботів,Суботів,Subotiv
Полтавка,Полтавка,Poltavka
Бахчисарай,Бахчисарай,Bakhchysarai
Опішня,Опішня,Opishnia
Кам'яний Брід,Кам'яний Брід,Kamianyi Brid
Кам'янець,Кам'янець,Kamianets
Кодак,Кодак,Kodak
Ямпіль,Ямпіль,Yampil
Жванець,Жванець,Zhvanets
Ничипір,Ничипір,Nychypir
Гаврило,Гаврило,Havrylo
Тимофій,Тимофій,Tymofiy
Панько,Панько,Panko
Іван,Іван,Ivan
Петро,Петро,Petro
Михайло,Михайло,Mykhailo
Семен,Семен,Semen
Данило,Данило,Danylo
Грицько,Грицько,Hrysko
Хома,Хома,Khoma
Тарас,Тарас,Taras
Остап,Остап,Ostap
Назар,Назар,Nazar
Кирило,Кирило,Kyrylo
Панас,Панас,Panas
Юхим,Юхим,Yukhym
Андрій,Андрій,Andrii
Яків,Яків,Yakiv
Степан,Степан,Stepan
Кость,Кость,Kost
Денис,Денис,Denys
Лесько,Лесько,Lesko
Охрім,Охрім,Okhrim
Роман,Роман,Roman
Клим,Клим,Klym
Пилип,Пилип,Pylyp
Улас,Улас,Ulas
Сава,Сава,Sava
Ліси,Ліси,Forests
Дике Поле,Дике Поле,Wild Field
Кордон,Кордон,Border
UI_AP_SHORT,ОД,AP
TIME_DAY,День,Day
TIME_DUSK,Захід,Dusk
TIME_NIGHT,Ніч,Night
TIME_DAWN,Схід,Dawn
UI_NO_UNIT_SELECTED,Козака не обрано,No cossack selected
UI_STATS_UNKNOWN,Стати невідомі,Stats unknown
STAT_MELEE_SHORT,⚔️ Ближній бій: %d%%,⚔️ Melee: %d%%
STAT_DEFENSE_MELEE_SHORT,🛡 Захист (бл.): %d%%,🛡 Defense (melee): %d%%
STAT_ARMOR_HELMET_FORMAT,🪖 Броня: %d   Шолом: %d,🪖 Armor: %d   Helmet: %d
UI_SELL_SETTLEMENT,Продаж лише в поселеннях,Sell at settlements only
UI_DEAD,Мертвий,Dead
UI_RIPOSTE_STANCE,⚔️ Стійка: КОНТРУДАР,⚔️ Stance: RIPOSTE
UI_HIT_CHANCE,🎯 Шанс влучити:,🎯 Hit chance:
UI_FRIENDLY_FIRE,⚠️ РИЗИК ДРУЖНЬОГО ВОГНЮ!,⚠️ FRIENDLY FIRE RISK!
TERRAIN_BUSHES_INFO,"🌿 Чагарники\n+15% захист | 3 AP / 6 витр. на крок","🌿 Bushes\n+15% defense | 3 AP / 6 stam. per step"
TERRAIN_SWAMP_INFO,"💧 Болото\n−25% захист | −25% влучність | 4 AP / 15 витр. на крок","💧 Swamp\n−25% defense | −25% accuracy | 4 AP / 15 stam. per step"
TERRAIN_WATER_INFO,"🌊 Брід\n4 AP / 15 витр. на крок","🌊 Ford\n4 AP / 15 stam. per step"
TERRAIN_ROCKS_INFO,"🪨 Каміння\n+5% захист | 3 AP / 8 витр. на крок","🪨 Rocks\n+5% defense | 3 AP / 8 stam. per step"
TERRAIN_TREES_INFO,"🌲 Дерево\nНепрохідно","🌲 Tree\nImpassable"
WEAPON_TYPE_SWORD,Шабля,Saber
WEAPON_TYPE_MUSKET,Мушкет,Musket
WEAPON_TYPE_HEAVY,Бердиш,Bardiche
WEAPON_TYPE_ONE_HAND,Одноручна,One-handed
WEAPON_TYPE_TWO_HAND,Дворучна,Two-handed
WEAPON_GENERIC_DESC,Звичайна зброя.,Generic weapon.
WEAPON_STAT_DAMAGE,Шкода:,Damage:
WEAPON_STAT_PEN,Пробиття:,Penetration:
WEAPON_STAT_TYPE,Тип:,Type:
WEAPON_NOTE_BLEED,Високий шанс кровотечі,High bleed chance
WEAPON_NOTE_RELOAD_NEEDED,Потребує перезарядки,Requires reloading
WEAPON_NOTE_RANGE2,Радіус атаки: 2,Attack range: 2
WEAPON_NOTE_ARC,Атака по площі,Area attack
CS_SLOT_TRINKET_TOOLTIP,Слот для амулетів та оберегів.,Slot for amulets and talismans.
CS_SLOT_HELMET_TOOLTIP,Захищає голову від критичних ударів.,Protects head from critical hits.
CS_SLOT_AMMO_TOOLTIP,Запас набоїв для стрілецької зброї.,Supply of ammo for ranged weapons.
CS_SLOT_ARMOR_TOOLTIP,Захищає тулуб від ударів.,Protects torso from strikes.
CS_SLOT_BELT_TOOLTIP,Слот швидкого доступу на поясі.,Quick access slot on the belt.
RESULT_VICTORY,ПЕРЕМОГА,VICTORY
RESULT_DEFEAT,ПОРАЗКА,DEFEAT
RESULT_LOOT,Здобич,Loot
RESULT_NOTHING,Нічого,Nothing
RESULT_DEFEAT_NO_LOOT,"Поразка.\nЗдобичі немає.","Defeat.\nNo loot."
RESULT_NO_TROPHIES,Трофеїв не знайдено,No trophies found
RESULT_KILLED,Загинув,Killed
RESULT_DMG_DEALT,Завдано шкоди:,Damage dealt:
RESULT_DMG_TAKEN,Отримано шкоди:,Damage taken:
RESULT_LEVEL_UP,⬆ РІВЕНЬ!,⬆ LEVEL UP!
RESULT_INJURY_PERMANENT,Постійна,Permanent
RESULT_INJURY_TEMPORARY,"Тимчасова • %d дн.","Temporary • %d d."
RESULT_BTN_MAIN_MENU,Головне меню,Main Menu
RESULT_BTN_RETRY,Спробувати ще раз,Try Again
RESULT_BTN_CONTINUE,Продовжити кампанію,Continue Campaign
UI_THALERS_FORMAT,%d Талерів,%d Thalers
UI_ENCOUNTER,Зустріч,Encounter
UI_ZOOM_FORMAT,Зум: x%s,Zoom: x%s
LOADING_BATTLE,Завантаження битви...,Loading battle...
UI_ITEM_FALLBACK,Предмет,Item
Піка (2H),Піка (2H),Pike (2H)
Порізана рука,Порізана рука,Cut Arm
Забиті ребра,Забиті ребра,Bruised Ribs
Струс мозку,Струс мозку,Concussion
Перелом ребра,Перелом ребра,Broken Rib
Рана в ногу,Рана в ногу,Leg Wound
Глибокий поріз,Глибокий поріз,Deep Cut
Козацька шабля,Козацька шабля,Cossack Saber
Стьобаний жупан,Стьобаний жупан,Quilted Jupan
Шкіряний панцир,Шкіряний панцир,Leather Cuirass
Звичайна шапка,Звичайна шапка,Simple Cap
Хутряна кучма,Хутряна кучма,Fur Hat
BATTLE_HINT_LABEL,Підказка,Hint
BATTLE_ROUND_END,"--- 🔄 Усі юніти походили. Завершення раунду %d ---","--- 🔄 All units acted. End of round %d ---"
BATTLE_ENEMY_FALLBACK,Ворог,Enemy
BATTLE_FRIENDLY_FIRE_HIT,"⚠️ Куля випадково влучає в %s!","⚠️ Stray bullet hits %s!"
BATTLE_LEVEL_UP_FX,"🌟 РІВЕНЬ %d!","🌟 LEVEL %d!"
STAT_MORALE_SHORT,М:,M:
BATTLE_PANIC_FLEE,"ВТЕЧА %s лякає союзників!","FLEEING %s panics allies!"
BATTLE_PANIC_DEATH,"СМЕРТЬ %s підриває бойовий дух!","DEATH of %s breaks morale!"
GAME_OVER_TITLE,Кінець,Game Over
GAME_OVER_DESERT,Усі козаки дезертирували. Ваш загін розпався.,All cossacks deserted. Your squad has disbanded.
GAME_OVER_DEFEAT,Усі козаки загинули в бою.,All cossacks fell in battle.
UI_MAIN_MENU,Головне меню,Main Menu
